account_uuid,state,industry,subindustry,year_established,annual_revenue,total_payroll,business_structure,num_employees,region
4de966ca-b13f-4133-acd2-d516328062fc,PA,Retail Trade,Landscaping Services,2012.0,120000.0,50000.0,Limited Liability Company,4.0,Northeast
85ec3b0c-8f89c-232b-6be4c-d033c5a52e,TX,Contractors,Electrical Contractors and Other Wiring Installation Contractors,2012.0,60000.0,40000.0,Limited Liability Company,1.0,South
0fb1f276-95a95-9332-6927f-7e2dc3e610,NY,Unknown,Unknown,2016.0,150000.0,0.0,Corporation,0.0,Northeast
5fe23456-f37a8-3c12-7a731-477f60edb9,CA,"Professional, Scientific and Technical Services",Architectural Services,2015.0,75000.0,55000.0,Limited Liability Company,0.0,West
2b2ceb23-20eb3-9a3c-87034-2eccac7276,AZ,Retail Trade,Tobacco Stores,2014.0,200000.0,0.0,Limited Liability Company,0.0,West
48f532af-f624a-e5a4-15639-62fb679786,FL,Contractors,Residential Remodelers,2017.0,50000.0,50000.0,Individual,1.0,South
beb67247-dc45-4d3e-a0be-813c4dd082ed,GA,Non Profits,Religious Organizations,2018.0,26000.0,0.0,Non-Profit,0.0,South
b38a95a7-a57cb-6993-c10d0-caa8895e22,PA,Transportation and Warehousing,"General Freight Trucking, Long-Distance, Less Than Truckload",2009.0,350000.0,0.0,Individual,0.0,Northeast
b19581ac-37cff-0009-a2538-ffcc84bdc9,NY,Retail Trade,Other Personal Care Services,2017.0,10000.0,0.0,Limited Liability Company,0.0,Northeast
101df298-2d8c-4d6c-b995-b7bb3cc0bb99,FL,Retail Trade,Landscaping Services,2018.0,30000.0,0.0,Limited Liability Company,0.0,South
a74fe3f9-4da0-4d10-8d35-611f5ee0cd42,AZ,Wholesale Trade,Other Professional Equipment and Supplies Merchant Wholesalers,1986.0,750000.0,0.0,Corporation,0.0,West
2969ad03-51c8-4eca-be39-d6117d19f40a,FL,Education,Professional and Management Development Training,2016.0,50000.0,0.0,Individual,0.0,South
