"account_uuid","product","premium","carrier_id","convert"
"f09e1383-2467-4741-9bd3-39cfd7a2b399","Business_Owners_Policy_BOP",4316,29,0
"8e686305-a622-4f24-ba0a-478fcbbee32c","Commercial_Auto",2085,9,0
"f13a4b1b-f1fe3-3e49-f60c2-824c38e79a","Business_Owners_Policy_BOP",607,60,0
"8f58d58a-762b-40b2-8a9e-6adaa4c31ea5","Workers_Compensation",779,22,1
"76eaf5b0-ed02d-3d49-15cf5-3745425c15","Workers_Compensation",10086,29,1
"b395e692-e9a65-02d0-a7e2e-464a19a137","Business_Owners_Policy_BOP",475,30,0
"1cedf878-ac874-b4ea-06c85-0e30d7f4f7","Business_Owners_Policy_BOP",1408.86,30,0
"b395e692-e9a65-02d0-a7e2e-464a19a137","Business_Owners_Policy_BOP",500,60,1
"33d056e9-3561-480a-8377-99ba7ce53aa8","General_Liability",2296,39,0
"f13a4b1b-f1fe3-3e49-f60c2-824c38e79a","Business_Owners_Policy_BOP",808,60,0
"33d056e9-3561-480a-8377-99ba7ce53aa8","General_Liability",553,60,0
"f13a4b1b-f1fe3-3e49-f60c2-824c38e79a","Business_Owners_Policy_BOP",752,60,0
"8dae6132-16a3-4fec-82d3-bade8a84671b","Business_Owners_Policy_BOP",2091,39,0
"2dcf7d52-2aeb4-6be9-78a3c-7758769fc3","General_Liability",650,60,1
"06019f4c-21d41-f5d2-f74ef-6c14b9ebc4","General_Liability",1261,39,1
"a0d162d3-0bc60-fefd-6ec99-b8daa79f73","General_Liability",704,31,1
"6db37545-ca4e2-e152-a5d75-0fd965c157","General_Liability",4447,39,1
"8b68a497-b078-4dc7-b664-46aeb8c23309","General_Liability",499,39,1
"b3bd753e-ebf54-dd07-adce2-3ed22e99a2","General_Liability",909,39,1
"e3379266-07f76-b8a8-5d24a-859688a4de","General_Liability",500,31,0
"b3bd753e-ebf54-dd07-adce2-3ed22e99a2","CW_Hired_Non_Owned_Auto",277,39,1
"bec9f0fe-c366-4fd1-8171-76a9dcc3d405","General_Liability",500,73,1
"08a1d8c4-0caf8-2005-a0e44-c1d7010bc2","Workers_Compensation",11974,39,1
"2fa84f29-1c02-4228-9d8d-f0c56a7f6f58","Commercial_Auto",519,53,1
"bc1ba915-11693-15ac-c84b4-5de5399d85","Business_Owners_Policy_BOP",1139.91,22,1
"e94d4c57-1aa40-6b82-8cdd6-5a5f1b4f6e","Workers_Compensation",7409,9,1
"6c50b122-f28a8-76c9-a166d-67c8338f73","General_Liability",500,39,1
"8e2b19e5-59cc4-29c7-0de9c-454282a26f","Workers_Compensation",1922,29,1
"a3fdaf3e-80058-f649-2bc2a-510ce343ae","General_Liability",924,31,1
"bd64b53b-a04be-35d3-b4d1c-19470fccd4","CW_Directors_Officers_D_O",6834,64,0
"303ca001-eb198-0a6c-8d3d2-75d31f018b","Business_Owners_Policy_BOP",508,60,0
"303ca001-eb198-0a6c-8d3d2-75d31f018b","Business_Owners_Policy_BOP",508,60,1
"b42b50fc-a2e1e-b0de-ef2c0-6b20312c49","Business_Owners_Policy_BOP",769,39,0
"faf2ca0f-2037a-945b-03126-bbe457f361","General_Liability",512,39,1
"6e925dbf-f3ca-4a1e-99f8-e379b0589075","General_Liability",500,39,1
"47659982-ffa5-42e5-8ba5-e64bc756c73e","CW_Professional_Liability",3546,31,1
"d58ce133-c2a9-4b85-83d5-8d7896430186","CW_Professional_Liability",796,21,1
"a36297fd-a01d9-415f-38f85-5f96792b7b","Business_Owners_Policy_BOP",550,39,0
"2fa84f29-1c02-4228-9d8d-f0c56a7f6f58","General_Liability",505,9,0
"9bae7b50-38c4d-8824-f723c-6cfecf00b1","General_Liability",350,31,1
"40595cfd-5f6c8-9dee-31dbb-0124909873","Business_Owners_Policy_BOP",500,31,1
"d4829e65-e6289-448c-c1c81-8acf5fa59f","Business_Owners_Policy_BOP",524,31,0
"5bece07c-6ea89-622f-12972-bf8ea68208","Business_Owners_Policy_BOP",1408,60,1
"9e5cac85-8dd43-6443-a0a21-5d66f3af15","Cyber_Liability",2080,18,1
"9e5cac85-8dd43-6443-a0a21-5d66f3af15","CW_Professional_Liability",1674,31,0
"9e5cac85-8dd43-6443-a0a21-5d66f3af15","CW_Crime_Liability",1639,31,1
"2dceec32-7886e-e207-17d40-c74cda9e38","General_Liability",500,31,0
"30515974-e7bf-4a31-bb73-36a2fc29b81c","CW_Professional_Liability",400,31,1
"8d78bda1-a42a1-8fa1-af5b0-1ae704abd5","General_Liability",806,31,0
"54ee7cf6-8781-4bbc-8213-8162cef4e097","Workers_Compensation",1633.5,9,1
"ff58d1b4-fdc88-5abe-26b18-ca777fd77e","General_Liability",500,39,1
"0ad51418-366d3-7a2c-c85ad-e3f77a08d6","General_Liability",684,39,1
"b54c49d8-c572-4a10-8ebc-4c71a965fcea","General_Liability",1356,39,1
"9ca03266-82ae-47c7-a142-84117b21f362","General_Liability",500,31,1
"cd3fa3dc-2ea22-233e-82e1b-6b93b1b257","General_Liability",350,31,1
"b8c16b85-839a9-2a7c-eb2ac-933c3cae37","Workers_Compensation",296,22,1
"2b839e4e-19245-861d-d7ebe-346a4ceba0","Business_Owners_Policy_BOP",2032.03,39,0
"2b839e4e-19245-861d-d7ebe-346a4ceba0","Business_Owners_Policy_BOP",2296,60,0
"be8c3b99-12846-daa1-dc486-75ad515609","General_Liability",500,31,1
"58148069-03e51-cdd5-ed081-a94b7f0347","General_Liability",738,39,0
"58148069-03e51-cdd5-ed081-a94b7f0347","General_Liability",500,73,1
"b481fcef-4a052-b14f-638ab-02f919d29a","Commercial_Auto",4240,53,1
"739644b5-16f4-4b78-bc70-b6b7c7c0c4da","General_Liability",3500,31,1
"d0137ff1-687c7-8686-cdcb2-deb4a49ded","CW_Umbrella_Policy",1364,39,0
"09bc739c-80510-d8d9-2bc7d-7bf8328a9c","General_Liability",890,31,1
"9aea89a4-775b8-0bb5-1149b-4087f23dc3","Workers_Compensation",5284,71,0
"0e7c32d8-a17a-43c0-a8d4-d4de790e4aad","Workers_Compensation",5187,9,1
"671470bb-041de-2544-d3a28-e7a35d7e35","General_Liability",1325,9,0
"6e925dbf-f3ca-4a1e-99f8-e379b0589075","Business_Owners_Policy_BOP",1649.18,30,0
"dfcc231a-58528-85ce-9c7c7-913d802799","General_Liability",4896,39,1
"96f6831b-d67a-48da-9889-0144bd74812b","General_Liability",350,31,1
"c609e3cb-e4ff8-b7fe-6836d-4de1fa4c56","Business_Owners_Policy_BOP",475,30,0
"c609e3cb-e4ff8-b7fe-6836d-4de1fa4c56","Business_Owners_Policy_BOP",501,60,1
"07dd8d5f-6ae00-cd20-edcb7-53b2a9a428","Business_Owners_Policy_BOP",503,60,1
"1c49c814-c7e81-8141-665e5-9fcfcfab1a","CW_Inland_Marine",169,9,1
"705b366d-157b8-1762-1b48d-2130d40acb","Business_Owners_Policy_BOP",494,30,1
"3f9c65ae-e5eed-f211-668de-be2738b4f0","General_Liability",650,60,1
"3f9c65ae-e5eed-f211-668de-be2738b4f0","General_Liability",1331,39,0
"b2bacfff-c96c3-b1d8-97dab-4ef63755ab","General_Liability",355,39,1
"e24b0235-a6336-cb8e-c66e7-b012c8e969","General_Liability",616,39,1
"c3f95d2c-34acd-4214-81f0b-743cec1bd3","Workers_Compensation",1337,29,1
"bfd59a38-0021-427f-ab21-2d36fa92b3e9","General_Liability",500,31,1
"3652b12a-965e-494e-b368-c5f6e02e1c9b","Liquor_Liability",195,39,1
"076a626f-81cfa-3174-ee26a-ffe1b3657c","General_Liability",350,31,1
"bfd59a38-0021-427f-ab21-2d36fa92b3e9","General_Liability",585,39,0
"076a626f-81cfa-3174-ee26a-ffe1b3657c","Workers_Compensation",2768,29,1
"1b3cadf5-01e2e-cb7b-22c3d-4879388a68","Commercial_Auto",62111,53,1
"b0599a58-f717-42ff-a37d-316da7e9e039","General_Liability",523,9,1
"194bc784-8d99-41cb-92e2-3c9d7b642563","General_Liability",500,40,1
"428af14b-41edf-0ac1-13396-6c69665f99","Business_Owners_Policy_BOP",866,30,1
"3af01f3b-2940a-ddfc-127ab-bcc35102be","Business_Owners_Policy_BOP",479.07,30,1
"229f6274-ba73-4255-aea6-9984803dfe5d","General_Liability",352.1,31,1
"c3ee54d4-b04c-4f6b-9564-b6ceae9129a3","General_Liability",689,60,1
"d21800e9-fa041-5ad1-932c7-4383d8f283","General_Liability",4727,31,0
"c0431588-8eb17-d1e5-79f0f-6faa20ce48","Business_Owners_Policy_BOP",2097,73,1
"836726bb-40728-71cf-4a7fd-1070172ce7","General_Liability",540,39,1
"b40045a7-1d4a-48b8-917a-f638fcc43779","Business_Owners_Policy_BOP",825,39,0
"44ad8d50-7a070-a5bd-df77f-224c9ca3b4","General_Liability",1012,39,1
"6961a217-5f1bb-e267-d5768-c525d7137b","Workers_Compensation",1328,40,0
"8f7f2e20-0318-4e1f-bf58-85bc3f5d5a9c","General_Liability",552,31,0
"8f7f2e20-0318-4e1f-bf58-85bc3f5d5a9c","General_Liability",898,39,0
"4f8d9180-b9c1-4d79-8ba1-075e479413af","CW_Errors_Omissions_E_O",574,72,1
"77cb114d-af4a-4dee-8237-2ad92ad333b4","General_Liability",350,31,1
"77cb114d-af4a-4dee-8237-2ad92ad333b4","General_Liability",500,39,0
"739644b5-16f4-4b78-bc70-b6b7c7c0c4da","General_Liability",5753,39,0
"1d5dad44-d2964-2567-3eb61-16fe2a2661","Business_Owners_Policy_BOP",475.6,30,0
"9318615f-8314c-7257-6eb68-bd12bf9fa0","Commercial_Auto",3649,53,0
"1d5dad44-d2964-2567-3eb61-16fe2a2661","Business_Owners_Policy_BOP",500,60,0
"1d5dad44-d2964-2567-3eb61-16fe2a2661","Business_Owners_Policy_BOP",500,60,0
"cce60817-a0ca7-9917-46834-08e707d45c","Commercial_Auto",9106.04,53,1
"f270be92-9b7e-401b-9606-eb4d7920c667","General_Liability",350,31,1
"303ca001-eb198-0a6c-8d3d2-75d31f018b","Business_Owners_Policy_BOP",508,60,0
"8e4243b5-14b1-4977-ba4a-52a133d501fe","Business_Owners_Policy_BOP",500,39,1
"8a3bf554-9a4b-406a-b949-d77e594ed611","CW_Professional_Liability",1018,31,1
"a7790a1d-42146-c312-f00ad-8198fb1df3","Business_Owners_Policy_BOP",1267.09,30,1
